    empty_slots free_bikes latitude longitude
26              147 - EMILE MAX LYCEE/LYCEUM EMILE MAX
27                    148 - GARE MEISER/MEISER STATION
28                                       306 - HEMBEEK
29                       230 - BERKENDAEL / BERKENDAAL
30                228 - ALTITUDE CENT / HOOGTE HONDERD
31                                      355 - PARNASSE
32             235 - FOREST NATIONAL / VORST NATIONAAL
33                                 102 - MUSEUM/MUSEUM
34                                     105 - DE HENNIN
35                                    001 - LEOPOLD II
36                    207 - BIESTEBROECK / BIESTEBROEK
37                  185 - PERE DE DEKEN/PATER DE DEKEN
38                                 348 - HANSEN-SOULIE
39                  031 - MUSEE DE LA BD / STRIPMUSEUM
40                  019 - PLACE MORICHAR/MORICHARPLEIN
41                        041 - SAINT-ROCH/SINT-ROCHUS
42                                  256 - VAN OVERBEKE
43                                       175 - BEEKANT
44                                       190 - TERDELT
45                                    345 - 3 TILLEULS
46                                        139 - LIEDTS
47                   058 - GARE DU NORD / NOORDSTATION
48                                  334 - MARCEL THIRY
49             027 - SQUARE ALBERT I / ALBERT I SQUARE
50                                        164 - KENNIS
51                                        339 - MEUDON
52                           209 - VEEWEYDE / VEEWEIDE
53   236-MAISON COMMUNALE DE FOREST/VORST GEMEENTEHUIS
54                               278 - STADE / STADIUM
55                                     270 - DE PADUWA
56                                         186 - GENOT
57                              122 - GARE D'ETTERBEEK
58      200 - VETERANS COLONIAUX / KOLONIALE VETERANEN
59                                     333 - TRACTEBEL
60                    053 - GARE DU MIDI / ZUIDSTATION
61                                          286 - BENS
62                                         110 - RODIN
63                                       288 - HOUZEAU
64                                 023 - AGORA / AGORA
65                                        260 - TRITON
66                   264 - NOTRE DAME/ONZE LIEVE VROUW
67                          145 - COTEAUX/WIJNHEUVELEN
68                                        204 - DUPUIS
69                                        239 - DARWIN
70                                        202 - AUMALE
71                                         080 - CERES
72                                  299 - SAINT-ADRIEN
73                                 331 - GEORGES HENRI
74           100 - GARE DE LUXEMBOURG/LUXEMBURGSTATION
75                                   063 - JULES CESAR
76               095 - PLACE BOCKSTAEL/BOCKSTAELPLAATS
77                          045 - STEPHANIE / STEFANIA
78                                     127 - GRAY/GRAY
79                                      090 - BROUSTIN
80         342 - MAISON COMMUNALE DE BERCHEM ST AGHATE
81                                           338 - UCL
82                                        274 - CORHAY
83                     135 - PARC LACROIX/LACROIX PARK
84                                       107 - DEFACQZ
85                                      022 - JACQMAIN
86                                    050 - RIBAUCOURT
87                189 - PLACE VAN MEYEL/VAN MEYELPLEIN
88                                 179 - CELTES/KELTEN
89                      241 - STATUAIRES/BEELDHOUWWERK
90                                        323 - CARENE
91                                  212 - THEO LAMBERT
