    empty_slots
49                                                                                   SQUARE ALBERT I / ALBERT I-SQUARE 25 - 26 - 27
50                                                 KENNIS - BOULEVARD LAMBERMONT (20 M APRES 284)/LAMBERMONTLAAN   (20 M NA N° 284)
51                                                                                                           MEUDON - SQUARE MEUDON
52                                        VEEWEYDE / VEEWEIDE - BD THEO LAMBERT (FACE 5 a 9) / THEO LAMBERTLAAN (TEGENOVER ( tot 9)
53                                        MAISON COMMUNALE DE FOREST / VORST GEMEENTEHUIS - RUE SAINT DENIS 4 / SINT DENIJSSTRAAT 4
54                                                               STADE / STADIUM - AVENUE HOUBA DE STROOPER / HOUBA DE STROOPERLAAN
55                                                                 DE PADUWA - AVENUE DES ANCIENS COMBATTANTS / OUD-STRIJDERSLAAN 1
56                                                                                             GENOT - CHAUSSEE DE GAND DEVANT 1033
57                                          GARE D'ETTERBEEK/STATION VAN ETTERBEEK - BOULEVARD GENERAL JACQUES/GENERAAL JACQUESLAAN
58                                                VETERANS COLONIAUX / KOLONIALE VETERANEN - BD JULES GRAINDOR / JULES GRAINDORLAAN
59                                                                                         TRACTEBEL - AV MARCEL THIRY FACE AU N°93
60                                                              GARE DU MIDI / ZUIDSTATION - PLACE VICTOR HORTA / VICTOR HORTAPLEIN
61                                                              BENS - CHEE D'ALSEMBERG DEVANT LE 548 / ALSEMBERSESTEENWEG VOOR 548
62                                                              RODIN - AVENUE DE LA COURONNE (DEVANT 145 D) / KROONLAAN (N° 145 D)
63                                                                                     HOUZEAU - AVENUE HOUZEAU 10 / HOUZEAULAAN 10
64                                                                                               AGORA - PLACE AGORA/AGORAPLEIN 120
65                                                  TRITON - AVENUE DES ANCIENS COMBATTANTS - PISCINE / OUD-STRIJDERSLAAN - ZWEMBAD
66                                           NOTRE DAME / ONZE LIEVE VROUW - AV NOTRE DAME 53 A 61 / ONZE LIEVE VROUWLAAN 53 TOT 61
67                                                                            COTEAUX/WIJNHEUVELEN - AVENUE ROGIER / ROGIERLAAN 128
68                                                                      DUPUIS - BD SYLVAIN DUPUIS / SYLVAIN DUPUISLAAN 209-211-213
69                                                                                     DARWIN - AV. BRUGMANN / BRUGMANNLAAN 139-147
70                                                                                     AUMALE - RUE D'AUMALE / AUMALESTRAAT 339-341
71                                                                                    CERES - AV. F. ROOSEVELT/F. ROOSEVELTLAAN, 14
    extra.banking extra.bonus extra.last_update extra.slots
1           FALSE       FALSE      1.494781e+12          24
2            TRUE       FALSE      1.494782e+12          25
3            TRUE       FALSE      1.494781e+12          24
4            TRUE       FALSE      1.494781e+12          20
5            TRUE       FALSE      1.494782e+12          24
6            TRUE        TRUE      1.494781e+12          40
7           FALSE       FALSE      1.494781e+12          25
8            TRUE       FALSE      1.494781e+12          25
9            TRUE       FALSE      1.494781e+12          38
10          FALSE       FALSE      1.494781e+12          31
11           TRUE       FALSE      1.494781e+12          25
12           TRUE       FALSE      1.494781e+12          20
13           TRUE       FALSE      1.494781e+12          17
14           TRUE       FALSE      1.494781e+12          25
15          FALSE       FALSE      1.494781e+12          30
16           TRUE       FALSE      1.494781e+12          25
17           TRUE       FALSE      1.494781e+12          25
18           TRUE       FALSE      1.494781e+12          19
19           TRUE       FALSE      1.494781e+12          20
20          FALSE       FALSE      1.494781e+12          25
21           TRUE       FALSE      1.494781e+12          25
22          FALSE       FALSE      1.494781e+12          25
23           TRUE        TRUE      1.494782e+12          17
